Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,"If your income needs additional context, please provide it here:",State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
35-44,Law,Assistant Public Defender,,80000,0,,Georgia,Douglasville,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,Another option not listed here or prefer not to answer
25-34,Education (Higher Education),Coordinator of Academic Support Services,,49060,0,,Nebraska,Kearney,5-7 years,5-7 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Marketing Analyst,,52000,0,,Florida,Orlando,5-7 years,5-7 years,Master's degree,Man,White
25-34,Biotech / Research,Principal Research Associate,,100000,10000,Also receive stock options and grants as additional compensation and retention bonuses,Massachusetts,Boston,8-10 years,8-10 years,Master's degree,Man,White
25-34,Nonprofits,Program Assistant,,42000,1000,,District of Columbia,Washington,2-4 years,2-4 years,College degree,Woman,White
35-44,Nonprofits,Senior Program Manager,,120000,0,,District of Columbia,Washington,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Property or Construction,Project Manager,,85000,,,California,Berkeley,2-4 years,2-4 years,College degree,Woman,White
18-24,Computing or Tech,Technical Support Specialist II,,45000,0,,Oklahoma,Oklahoma,5-7 years,5-7 years,College degree,Man,White
45-54,"Accounting, Banking & Finance",Registered client services Associate,,43000,3000,,Virginia,Richmond,5-7 years,2-4 years,College degree,Woman,White
45-54,Computing or Tech,Senior Software Engineer,,138000,0,,Massachusetts,Cambridge,21-30 years,21-30 years,Master's degree,Man,White
25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,,65000,0,,Virginia,Richmond,5-7 years,5-7 years,College degree,Man,White
35-44,Engineering or Manufacturing,Research fellow (lab/field technician),,42000,0,,Massachusetts,Amherst,21-30 years,11-20 years,College degree,Woman,White
35-44,Sales,Sales Account Manager,,80000,5000,,California,Torrance,21-30 years,5-7 years,College degree,Woman,Black or African American
25-34,Education (Higher Education),Executive Staff Assistant,,63750,0,,Wisconsin,Madison,5-7 years,5-7 years,College degree,Woman,White
25-34,Education (Higher Education),Interlibrary Loan Coordinator,"library staff, not official librarian",45000,0,,New York,New York,5-7 years,2-4 years,College degree,Woman,White
35-44,Education (Higher Education),"Director, Alumni Relations",,88000,,,Utah,Salt Lake,21-30 years,11-20 years,College degree,Woman,White
25-34,Computing or Tech,"Product Owner: Data, Reporting, & Analytics",,102550,25000,,Texas,Austin,8-10 years,8-10 years,High School,Woman,White
25-34,Nonprofits,"Senior associate, annual giving",Digital fundraising and individual giving,72800,,,District of Columbia,Washington,5-7 years,2-4 years,College degree,Woman,White
45-54,Education (Higher Education),Associate dean,,150000,0,,Texas,San Antonio,21-30 years,21-30 years,PhD,Woman,White
35-44,Health care,Data Engineer,,110000,11000,,Pennsylvania,Philadelphia,5-7 years,2-4 years,High School,Man,White
55-64,Nonprofits,Executive Director,,111000,,,Connecticut,Hartford,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Education (Higher Education),Administrative Specialist,,40040,,,Maine,Waterville,11-20 years,8-10 years,Master's degree,Woman,White
18-24,Sales,SDR,,60000,20000,,California,San Francisco,2-4 years,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Nonprofits,Director of Leadership and Talent Development Programs,,85000,8500,,Massachusetts,Boston,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Nonprofits,Grants Manager,,67000,0,,California,Los Angeles County,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Business or Consulting,"Senior Consultant, Strategy and Analytics","Senior Consultant is the standard title for newly minted MBAs or holders of other graduate degrees at my firm. You can become an SC by starting as an analyst and working your way up for 4-5 years, but most people either come in with an MBA or leave to get one and then come back, because it's hard to get to manager level without one. As an SC, I am responsible for managing a workstream (usually yourself and a few analysts) as part of a larger project. I don't do any business development.",160000,25000,"My income level is a standardized figure for all MBA campus hires at my company and was non-negotiable. Our bonuses are up to 25% of salary, depending on firm and personal performance in any given year.",Texas,Houston,8-10 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Social Work,LICSW,Hospital Social Work,72000,0,,Massachusetts,Boston,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Computing or Tech,Software Engineer,,126000,10000,,New York,New York,5-7 years,2-4 years,College degree,Woman,White
35-44,Health care,Medical coder,"I am permanently remote; work in one state, live in another.",60000,0,,Oregon,Portland,21-30 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Nonprofits,Communications & Marketing Manager,,70000,5000,,Massachusetts,Boston,5-7 years,5-7 years,College degree,Man,White
25-34,Recruitment or HR,Technical Recruiter,,260000,0,"I work in recruitment consulting so I don't get equity or benefits, just cash. I worked in SF startups previously and made ~350k/yr including equity, but that wasn't liquid at the time (company had successful exit). My current job allows for part time work so I get paid hourly at $125/hour.",California,San Francisco,8-10 years,8-10 years,College degree,Woman,White
25-34,Education (Higher Education),Assistant Professor,Tenure track,77000,,,Pennsylvania,Bethlehem,5-7 years,5-7 years,PhD,Woman,White
35-44,Science,Lab Director,,160000,0,,Virginia,Alexandria,21-30 years,21-30 years,PhD,Woman,White
35-44,Nonprofits,Director of Digital Learning,I develop elearning and mobile learning,93000,,,Georgia,Atlanta,21-30 years,11-20 years,Master's degree,Woman,White
25-34,Education (Higher Education),PhD Student,,40000,0,,Indiana,South Bend,2-4 years,2-4 years,Master's degree,Woman,White
25-34,"Accounting, Banking & Finance",Client Administrator,,45000,3000,,South Carolina,Greenville,5-7 years,2-4 years,College degree,Woman,White
25-34,Media & Digital,Staff engineer,"Software engineer, mostly web stuff",155000,0,,District of Columbia,See Above,8-10 years,8-10 years,College degree,Woman,Another option not listed here or prefer not to answer
18-24,Research,Research technician,,30000,,,North Carolina,Durham,2-4 years,2-4 years,Master's degree,Woman,Asian or Asian American
25-34,Social Work,Care manager,"Private company, private pay clients, very small but well established",53000,1000,"We get a lot of gift cards and other random ""thank you"" gifts, as well as a holiday bonus.",Maryland,DC Metro Area,8-10 years,2-4 years,Master's degree,Woman,White
25-34,Education (Higher Education),Associate Director,,95000,0,,Massachusetts,Boston,8-10 years,5-7 years,Master's degree,Woman,White
45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,,47255,0,,Indiana,Lafayette,31-40 years,21-30 years,Some college,Woman,White
35-44,Computing or Tech,Senior Operations Manager,,81300,14600,Bonus contingent on company and personal performance,New York,New York,8-10 years,5-7 years,Master's degree,Woman,White
35-44,Nonprofits,Chief Marketing and Development Officer,,120000,10000,,Nevada,Las Vegas,11-20 years,8-10 years,College degree,Man,White
35-44,Insurance,Title Officer,I research property title in anticipation of issuing title insurance,55000,10000,,Oregon,Portland,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Engineering or Manufacturing,Principal systems engineer,,160000,0,,Colorado,Boulder,11-20 years,11-20 years,Master's degree,Woman,White
45-54,Health care,Practice Administrator,,69000,5000,,Pennsylvania,Bethlehem,11-20 years,5-7 years,Master's degree,Woman,White
55-64,Engineering or Manufacturing,Accounting manager,Also handle payroll and HR,70000,10000,,Texas,Houston,31-40 years,11-20 years,Some college,Woman,White
25-34,Engineering or Manufacturing,Environmental Project Manager,,56000,2000,,Virginia,Roanoke,5-7 years,5-7 years,College degree,Man,White
35-44,Computing or Tech,SRE,,130000,,,Kentucky,Louisville,11-20 years,5-7 years,Master's degree,Man,White
35-44,Computing or Tech,Accounting manager,,115000,15000,,California,San Francisco,11-20 years,11-20 years,College degree,Woman,White
25-34,Computing or Tech,Software Developer II,,90000,4000,,Ohio,Cleveland,8-10 years,8-10 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
25-34,Government and Public Administration,Senior Counsel,,113300,0,,New York,New York,8-10 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
55-64,Engineering or Manufacturing,Sr. Human Resources Business Partner/VP,,185000,28000,,Florida,Tampa,41 years or more,21-30 years,College degree,Man,White
45-54,Retail,Barista,,29000,3000,,Wyoming,Laramie,21-30 years,2-4 years,Master's degree,Woman,White
45-54,Computing or Tech,Front-End Developer,,135000,,,Massachusetts,Andover,21-30 years,21-30 years,Some college,Man,White
25-34,Media & Digital,Marketing and Sales Assistant,at a university press,35000,0,,Texas,Austin,11-20 years,11-20 years,College degree,Woman,White
25-34,Law,Paralegal,,45760,1000,,Washington,Seattle,8-10 years,1 year or less,College degree,Woman,White
25-34,"Marketing, Advertising & PR",Marketing & Communications Manager,,43000,0,,North Carolina,Greensboro,5-7 years,2-4 years,College degree,Woman,White
45-54,Computing or Tech,Associate Network Engineer,,78078,1300,,Washington,Seattle,21-30 years,2-4 years,College degree,Man,White
25-34,Computing or Tech,Software Developer,,100000,10000,,Ohio,Columbus,2-4 years,2-4 years,College degree,Woman,White
35-44,Nonprofits,Senior director of individual giving,,130000,,,District of Columbia,Washington,11-20 years,8-10 years,Master's degree,Woman,White
45-54,Government and Public Administration,Library Assistant,Public library assistant managet,25000,0,,Virginia,Mechanicsville,11-20 years,8-10 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Process Manager,,80000,,,Virginia,Richmond,11-20 years,2-4 years,Master's degree,Woman,White
35-44,Government and Public Administration,Senior Analyst,,114000,,,Texas,Dallas,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Agriculture or Forestry,CSR,,29808,,,Virginia,Glen Allen,5-7 years,2-4 years,College degree,Non-binary,Native American or Alaska Native
35-44,"Accounting, Banking & Finance",Administrative Assistant,,92500,12000,,New York,New York,11-20 years,8-10 years,College degree,Woman,White
35-44,Hospitality & Events,Account Executive,,110000,20000,,Washington,Seattle,21-30 years,11-20 years,Some college,Man,White
25-34,Media & Digital,Production Coordinator for Film & TV,"I'm a freelance worker, and I charge a daily rate of ~$400/12-hour work day. I somewhat control my income, because I only make as much as I work.",75000,0,,New York,New York,5-7 years,2-4 years,College degree,Woman,Black
45-54,Nonprofits,non-profit adult training,,52000,0,,Alaska,Anchorage,11-20 years,2-4 years,College degree,Woman,White
65 or over,Nonprofits,Parish Organist & Publications Manager,"I'm the church organist, and I also prepare all the weekly service booklets for a medium-sized church (the booklets include everything for a service: prayers, readings, hymns with their tunes, etc.). All kinds of other stuff as needed, too.",27340,600,"Additional income comes from weddings, funerals, special services for which I'm the organist.",Arizona,Tucson,41 years or more,41 years or more,Master's degree,Man,White
35-44,Media & Digital,Executive Producer - Events and Content,,76000,0,,New York,New York,11-20 years,11-20 years,College degree,Woman,White
35-44,Education (Primary/Secondary),teacher,,53000,0,,Indiana,Rural,11-20 years,11-20 years,PhD,Woman,White
35-44,Preclinical Research,Manager,,82000,0,,Minnesota,Minneapolis,21-30 years,11-20 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Value stream manager,Manufacturing operations manager,123000,12000,,Indiana,Fort Wayne,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Computing or Tech,Senior UX Designer,I design software,143000,0,,Massachusetts,Andover,11-20 years,11-20 years,Master's degree,Man,White
45-54,Computing or Tech,Engineer,,98000,3000,,Texas,Austin,21-30 years,21-30 years,College degree,Woman,White
18-24,Agriculture or Forestry,Research assistant,,50000,,,North Carolina,Durham,2-4 years,2-4 years,College degree,Woman,White
35-44,Transport or Logistics,Air Export Supervisor,,65000,1500,,Illinois,Chicago,8-10 years,8-10 years,College degree,Woman,White
25-34,"Marketing, Advertising & PR",Digital Marketing and Analytics Manager,,120000,12000,,New York,New York,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Education (Higher Education),Study Coordinator,,57000,0,,Alaska,Fairbanks,8-10 years,2-4 years,Master's degree,Non-binary,White
45-54,Computing or Tech,Lead Software Engineer,,144000,,,North Carolina,Pittsboro,21-30 years,21-30 years,Master's degree,Man,White
25-34,Computing or Tech,Solution Architect,,90000,,,Massachusetts,Boston,2-4 years,5-7 years,College degree,Man,White
35-44,Education (Primary/Secondary),School Counselor,,46000,0,,Idaho,Ammon,11-20 years,5-7 years,Master's degree,Woman,White
35-44,Law,Legal Assistant,"I do a mix of paralegal and secretarial work, so my position is somewhere in the middle of the two.",36100,600,,Virginia,Richmond,11-20 years,2-4 years,Master's degree,Woman,White
25-34,Education (Higher Education),Assistant professor,"Tenure track, no tenure yet",90000,0,,North Carolina,Charlotte,2-4 years,2-4 years,PhD,Woman,White
35-44,Engineering or Manufacturing,Spacecraft Systems Engineer,,134000,,,Maryland,Greenbelt,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Nonprofits,Catechetical Leader,,41000,,,Ohio,Paulding,11-20 years,11-20 years,College degree,Woman,White
35-44,Computing or Tech,Software Engineering Manager,,235000,,,California,San Francisco,11-20 years,11-20 years,College degree,Man,White
35-44,Museum,Director of Operations,,87000,0,,Illinois,Chicago,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Pharmaceutical R&D,Senior scientist,,119000,10000,,Illinois,Chicago,1 year or less,1 year or less,PhD,Woman,Asian or Asian American
45-54,IT MSP,Office manager,,60000,0,,Connecticut,Essex,21-30 years,11-20 years,Some college,Woman,White
25-34,Computing or Tech,Product Manager,,150000,35000,,Washington,Seattle,11-20 years,5-7 years,Master's degree,Man,White
35-44,Education (Higher Education),Associate Director of Human Resources,,63400,0,,Iowa,Iowa,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Man,White
25-34,"Accounting, Banking & Finance",Vice Presidenti and Corporate Counsel,(in-house attorney),252000,80000,I also receive an equity grant,Pennsylvania,Philadelphia,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,"Marketing, Advertising & PR",Copywritier,,62000,,,California,Los Angeles,2-4 years,2-4 years,College degree,Woman,White
45-54,"Architecture, Engineering, Construction",Director Of Technology,"Managing all software and hardware technology used one Engineers and Architects to generate design solutions, and to produce documentation. Different an IT that manages data, network, communication, and cyber security",150000,7000,,North Carolina,Raleigh Durham,11-20 years,8-10 years,Master's degree,Man,Asian or Asian American
18-24,Computing or Tech,Data analyst,,110700,,,Washington,Seattle,2-4 years,2-4 years,College degree,Woman,White
25-34,Art & Design,Interior Design,,50000,,,Florida,Tamp,2-4 years,2-4 years,Master's degree,Woman,Non-Hispanic White
25-34,Research,Research Associate,,58500,0,,North Carolina,Pinehurst,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Education (Higher Education),Assistant Program Director,I am an assistant program director of an academic graduate program at a top us university.,74000,0,,Illinois,Chicago,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Pet care industry (dog training/walking),Operations Manager,"Scheduling, managing a small team, day to day client interactions, other admin tasks",48500,,,Massachusetts,Boston,5-7 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Engineering or Manufacturing,Engineering Manager,,80000,1000,,California,Redding,8-10 years,8-10 years,Master's degree,Woman,White
55-64,"Accounting, Banking & Finance",A/P Accountant,,71000,,,Washington,Seattle,41 years or more,41 years or more,High School,Woman,White
45-54,Government and Public Administration,Medical Officer,,180000,,,District of Columbia,Washington,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Man,Black or African American
35-44,Entertainment,Producer,Like a project manager for game developers,140000,,,Washington,Seattle,11-20 years,5-7 years,Some college,Woman,White
25-34,Computing or Tech,software engineer,,95680,,,California,Redlands,2-4 years,2-4 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
35-44,"Accounting, Banking & Finance",Analyst,,65300,2500,,Texas,Houston,8-10 years,2-4 years,College degree,Woman,Black or African American
25-34,Law,Legal Assistant,,69000,10000,,Illinois,Chicago,5-7 years,2-4 years,College degree,Woman,White
25-34,Agriculture or Forestry,County Extension agent,,42000,1200,,Arkansas,Benton,11-20 years,2-4 years,Master's degree,Woman,White
55-64,Education (Higher Education),Administrative Coordinator,I am an administrative assistant and also do everything financial and technical for the program I support.,68000,0,,New Jersey,Princeton,21-30 years,11-20 years,College degree,Woman,White
25-34,Nonprofits,Science Program Specialist,I'm a manager-equivalent creative specialist in charge of a museum makerspace.,35000,0,,Florida,Orlando,5-7 years,5-7 years,College degree,Woman,White
35-44,Recruitment or HR,Training Consultant,,54500,,,Michigan,Detroit,2-4 years,2-4 years,Master's degree,Woman,White
35-44,Computing or Tech,Product Management Leader,,243000,150000,,New York,New York,8-10 years,2-4 years,Master's degree,Woman,White
45-54,Computing or Tech,Senior Software Engineer,,500000,,,California,San Jose,21-30 years,21-30 years,Master's degree,Woman,White
45-54,Art & Design,Design Director,,108000,,,New York,New York,11-20 years,11-20 years,College degree,Woman,White
25-34,Computing or Tech,Director of Content,,120000,88200,Additional income is RSus so value varies. Amount is current market rate.,Illinois,Chicago,8-10 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Systems Engineer,,140000,,,New Jersey,Clifton,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Media & Digital,Branded Content Editor,,71000,0,,New York,New York,5-7 years,5-7 years,College degree,Woman,White
45-54,"Marketing, Advertising & PR",Growth Marketing Manager,"Lead generation, paid advertising, SEO, social media",95000,0,,North Carolina,Cary,11-20 years,11-20 years,College degree,Woman,White
35-44,Recruitment or HR,HR Generalist,,74098,0,,Virginia,Herndon Va,11-20 years,8-10 years,College degree,Woman,White
45-54,Retail,Merchandising,,27000,200,,Florida,Deerfield Beach,21-30 years,11-20 years,High School,Man,White
25-34,Nonprofits,EA to the Chief Development Officer,,74000,0,,District of Columbia,Washington,8-10 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Engineering or Manufacturing,Sales Controller,,100000,15000,,Wisconsin,Milwaukee,11-20 years,8-10 years,College degree,Man,White
35-44,Insurance,Licensing specialist,,48000,3000,,Pennsylvania,Philadelphia,8-10 years,8-10 years,College degree,Woman,White
25-34,Computing or Tech,Site Reliability Engineer,,205499,220000,,Washington,Seattle,5-7 years,5-7 years,College degree,Man,White
25-34,Insurance,Business Development & Service Manager,,48000,15000,,Virginia,Richmond,8-10 years,5-7 years,Master's degree,Woman,White
55-64,Health care,Corporate counsel,in house attorney for healthcare provider,140000,10000,,Colorado,Denver,21-30 years,21-30 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Manufacturing,Customer Service Manager,,65000,2000,,Indiana,Indianapolis,21-30 years,21-30 years,College degree,Woman,White
35-44,Media & Digital,Production Editor,,55000,0,,New York,New York,11-20 years,11-20 years,College degree,Woman,White
25-34,Music,Artist Manager,,65000,2000,,Texas,Austin,11-20 years,8-10 years,College degree,Man,White
35-44,Engineering or Manufacturing,Sales operations manager,,65000,5000,,New Jersey,Danbury Ct,11-20 years,5-7 years,College degree,Woman,White
25-34,Nonprofits,program manager,,48600,,,Texas,Houston,8-10 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
25-34,"Accounting, Banking & Finance",Financial Services Associate,Customer Service/Teller hybrid,38480,2000,,Florida,Miami,8-10 years,5-7 years,College degree,Woman,Black or African American
35-44,Computing or Tech,Software Engineer,,129000,25000,,New York,New York,8-10 years,2-4 years,Some college,Man,"Middle Eastern or Northern African, White, Another option not listed here or prefer not to answer"
25-34,Computing or Tech,IT Project Manager,Healthcare IT,206000,25000,,Wisconsin,Madison,8-10 years,8-10 years,College degree,Woman,White
35-44,Sales,Key account manager,,81500,31500,,Massachusetts,Boston,11-20 years,2-4 years,Master's degree,Woman,White
25-34,Government and Public Administration,Contact Representative,,37954,,,Pennsylvania,Philadelphia,2-4 years,1 year or less,Some college,Woman,Black or African American
35-44,Renewable energy,People Operations Coordinator,,64750,3500,,California,San Francisco,11-20 years,8-10 years,Master's degree,Woman,"Asian or Asian American, White"
35-44,Health care,Clinical Auditor,,65000,,,Washington,Spokane,11-20 years,11-20 years,Master's degree,Woman,White
25-34,"Accounting, Banking & Finance",Compliance manager,,100000,10000,,North Carolina,Charlotte,11-20 years,5-7 years,College degree,Woman,White
18-24,Engineering or Manufacturing,Software Engineer,IT in a manufacturing company,86000,2600,,Michigan,Se Michigan,2-4 years,2-4 years,College degree,Other or prefer not to answer,Asian or Asian American
25-34,Analytical lab,Shipping and sample prep,,30368,0,,Missouri,Undisclosed,8-10 years,1 year or less,College degree,Woman,White
25-34,Publishing,Acquisitions Editor,,66000,6000,,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
25-34,Retail,Senior product manager,,145000,50000,,Arkansas,Bentonville,8-10 years,2-4 years,Master's degree,Woman,Asian or Asian American
45-54,"Accounting, Banking & Finance",Accounting Clerk,,34632,0,,New York,Buffalo,21-30 years,11-20 years,College degree,Woman,White
25-34,Nonprofits,CRM Analyst,Salesforce administrator,87550,,,New York,New York,8-10 years,5-7 years,College degree,Woman,White
25-34,Nonprofits,Development Director,,62500,350,,California,Los Angeles,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
25-34,Health care,Pharmacist,,105000,2000,,Alabama,Montgomery,5-7 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
55-64,Supply Chain,"Assistant Vice President, Purchasing",,150000,20000,Bonus is not fixed - it is dependent on meeting Corporate Goals,Massachusetts,Taunton,31-40 years,21-30 years,College degree,Woman,White
35-44,Publishing,Project Editor,Editor of scholarly books at nonprofit publisher,43000,,,New Jersey,Princeton,5-7 years,1 year or less,PhD,Woman,White
25-34,Computing or Tech,Finance Analyst,,115000,11500,,Washington,Seattle,5-7 years,2-4 years,College degree,Man,White
35-44,Government and Public Administration,Maintenance Supervisor,Aerospace Ground Equipment,95368,3000,,Alaska,Anchorage,21-30 years,11-20 years,College degree,Man,White
35-44,Property or Construction,Executive Assistant,,57500,,,California,Pinole,11-20 years,8-10 years,College degree,Woman,White
35-44,Computing or Tech,Scientist,I’m a federal employee. We get generic titles based on our job code.,134708,0,Federal pay bands and locality pay are available at opm.gov,Virginia,Dahlgren,11-20 years,11-20 years,Master's degree,Man,White
35-44,Veterinary,Veterinary technician supervisor,,68640,,,New York,Brewster,11-20 years,5-7 years,College degree,Woman,White
25-34,Media & Digital,Associate Editor,,73500,2000,,New York,New York,8-10 years,8-10 years,College degree,Man,White
45-54,Health care,VP,Product VP,180000,10000,Still in start up mode so minimal bonus,Minnesota,Twin Cities,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Computing or Tech,Senior Embedded Software Engineer,,128000,,,Minnesota,Minneapolis,11-20 years,11-20 years,Master's degree,Man,White
25-34,Art & Design,Architectural Designer,,57000,4000,,Massachusetts,Boston,2-4 years,2-4 years,Master's degree,Woman,White
45-54,"Marketing, Advertising & PR",Dir of Marketing,,165000,30000,,Massachusetts,Boston,21-30 years,11-20 years,College degree,Man,White
25-34,Health care,Clinical Trial Associate,,78000,,,California,San Francisco,2-4 years,2-4 years,Master's degree,Woman,White
35-44,Computing or Tech,IT Manager,,90000,4000,,New Hampshire,Manchester,21-30 years,21-30 years,Some college,Man,White
35-44,Education (Primary/Secondary),Teacher and school administrator,,138000,3000,,New York,New York,11-20 years,11-20 years,PhD,Woman,White
25-34,Nonprofits,Head of Outreach and Community Experience,Community Librarian/Head of Adult Programs,64000,0,"Salaries vary wildly by state. In a role one step down in AR, I made $21k. I now live in MA. An equivalent role in AR to my current one in MA averages $35k.",Massachusetts,Framingham,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Nonprofits,Research Manager,,72500,0,,Illinois,Chicago,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Law,Partner,,101000,10000,,Ohio,Cincinnati,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Computing or Tech,"Environmental Health and Safety, and Emergency Management Lead",,134000,13400,Potential bonus is up to 10% depending on team performance and individual performance. There is also the opportunity to purchase into the employee stock purchase plan for up to 10% of my salary. My sign-on included 900 stock units vesting over 4 years.,California,San Francisco,8-10 years,8-10 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Communications Analyst,Brand Marketing for Manufacturing Company,85000,1000,,Oregon,Portland,11-20 years,8-10 years,College degree,Woman,White
55-64,"Marketing, Advertising & PR",Senior Vice President of Engagement,,140000,0,,Illinois,Chicago,31-40 years,21-30 years,Master's degree,Woman,White
35-44,Nonprofits,Department research administrator,,105000,,,New York,New York,11-20 years,11-20 years,Master's degree,Woman,White
45-54,Scientific R&D,Senior Administrator,,55500,,,Tennessee,Oak Ridge,11-20 years,11-20 years,Master's degree,Woman,White
18-24,Insurance,Assistant Controller,Title is a little ambitious for the office admin & basic accounting work I actually do. The goal is to move me into the job duties worthy of the title.,48000,1100,,Oregon,Portland,2-4 years,1 year or less,College degree,Woman,White
18-24,Nonprofits,Program Assistant,,33280,,,California,Los Angeles,2-4 years,2-4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Health care,Occupational therapist,,66650,2500,,Missouri,Liberty,8-10 years,5-7 years,Master's degree,Woman,White
45-54,Publishing,Senior editor,Senior editor within a museum's in-house publications department,86400,0,,California,Los Angeles,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Education (Higher Education),Associate Director of Development,Fundraiser - major gifts officer,72000,,,Texas,Houston,8-10 years,5-7 years,Master's degree,Woman,White
25-34,Agriculture or Forestry,Zoo Keeper,,32320,,,Maryland,Baltimore,5-7 years,5-7 years,College degree,Woman,White
45-54,trade association,"Senior Vice President, Diversity Equity & Inclusion",,195000,25000,,Virginia,Washington,21-30 years,5-7 years,PhD,Woman,White
35-44,Computing or Tech,Senior Software Engineer,,142000,,,Minnesota,Coon Rapids,11-20 years,11-20 years,College degree,Man,White
