Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,Currency,"If ""Other,"" please indicate the currency here:","If your income needs additional context, please provide it here:",Work Country,State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
35-44,Computing or Tech,Security Research,,225000,30000,USD,,,United States of America,Colorado,Boulder,11-20 years,11-20 years,College degree,Man,White
25-34,Engineering or Manufacturing,"Quality Control Scientist, SR",,52000,250,USD,,,United States of America,Wisconsin,Milwaukee,5-7 years,5-7 years,PhD,Woman,White
25-34,Automotive,Project Lead,,71000,1000,USD,,,United States of America,New Jersey,Mount Laurel,5-7 years,1 year or less,Master's degree,Man,White
25-34,Pet care industry (dog training/walking),Operations Manager,"Scheduling, managing a small team, day to day client interactions, other admin tasks",48500,,USD,,,United States of America,Massachusetts,Boston,5-7 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Government and Public Administration,Environmental health scientist,,72000,,USD,,,United States of America,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman,White
25-34,Nonprofits,General Maintenance,Night Janitor/Security,27040,200,USD,,,United States of America,Alaska,Anchorage,2-4 years,1 year or less,Master's degree,Woman,White
25-34,Government and Public Administration,Health Inspector,Retail Food Safety Inspector,40000,0,USD,,,United States of America,Florida,Tampa,5-7 years,5-7 years,College degree,Man,White
25-34,Nonprofits,Director finance + ops,,68000,0,USD,,,United States of America,California,Los Angeles,8-10 years,8-10 years,College degree,Man,Asian or Asian American
45-54,Hospitality & Events,Lead Purchasing Agent,,39249,1000,USD,,,United States of America,Tennessee,Crossville,11-20 years,11-20 years,College degree,Woman,White
35-44,Government and Public Administration,Contract Specialist,,111445,4000,USD,,,United States of America,Oregon,Portland,11-20 years,11-20 years,College degree,Woman,White
18-24,Nonprofits,Customer Care Advisor,,29700,0,USD,,,United States of America,Iowa,Iowa,8-10 years,2-4 years,College degree,Non-binary,White
35-44,Recruitment or HR,HR Business Partner,,79000,5000,USD,,,United States of America,Texas,Frisco,11-20 years,11-20 years,High School,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Computing or Tech,UX Product Design Lead,user Experience and Software Product Design just above Senior level,127500,1000,USD,,,United States of America,Oregon,Portland,8-10 years,8-10 years,College degree,Woman,White
25-34,Computing or Tech,Senior software development engineer,,170000,,USD,,"Annual stock grants usually around 40k in estimated value, vesting over 4 years",United States of America,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Computing or Tech,R&D Engineer,Mainly from mechanical engineering context,110000,0,USD,,,United States of America,Massachusetts,Boston,2-4 years,2-4 years,College degree,Man,Asian or Asian American
45-54,Nonprofits,Finance Manager,financial consulting and bookkeeping for nonprofits,45760,,USD,,,United States of America,Michigan,Ann Arbor,21-30 years,11-20 years,College degree,Non-binary,White
25-34,Nonprofits,STEM Education Manager,Science programs lead at a museum,44000,0,USD,,,United States of America,Texas,San Antonio,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Government and Public Administration,E-learning Specialist,,60000,1200,USD,,,United States of America,Florida,Pensacola,8-10 years,5-7 years,Master's degree,Woman,White
35-44,Health care,Director of HR,,114000,11400,USD,,,United States of America,Tennessee,Brentwood,11-20 years,11-20 years,College degree,Woman,White
25-34,Business or Consulting,Consumer Insights Analyst,,56000,2000,USD,,,United States of America,Ohio,Cincinnati,1 year or less,1 year or less,Master's degree,Woman,White
25-34,Computing or Tech,Senior BI Developer,"Creating data tables, pipelines, and reports for the purposes of product analysis.",150000,,USD,,"We receive company stock (RSus). The value is dependent on the share price, and you have to wait a year before you can sell 25%, and 4 years before you can sell all of your shares, but hypothetically, I currently have ~$500k in stock.",United States of America,California,San Francisco,2-4 years,2-4 years,College degree,Woman,White
25-34,Insurance,Sr. Administrative Assistant,,65250,0,USD,,,United States of America,North Carolina,Charlotte,11-20 years,11-20 years,College degree,Woman,White
55-64,Law,Word Processor,"(document production using MS office products, Adobe Acrobat)",39917,400,USD,,,United States of America,Indiana,South Bend,31-40 years,21-30 years,Master's degree,Woman,White
25-34,Entertainment,Props Fabrication,"Freelance props and furniture fabrication, carpentry and painting. Props assistant and props overhire work",50000,,USD,,"As a freelancer, generally 25$/27$ an hour. No benefits included but most of the work is on W2 employment so self employment tax rarely applies",United States of America,New York,New York,5-7 years,5-7 years,College degree,Woman,White
35-44,Government and Public Administration,GIS Analyst,,57477,0,USD,,,United States of America,Colorado,Denver,8-10 years,8-10 years,College degree,Woman,White
35-44,Education (Higher Education),Environmental Analyst,,33280,0,USD,,,United States of America,Illinois,Rural Florida Panhandle,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Systems Engineer,Level 2,96000,0,USD,,,United States of America,California,Mountain View,2-4 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Law,Associate Attorney,,162500,0,USD,,,United States of America,Ohio,Columbus,8-10 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Retail,Coordinator of Sales,Supervisor/keyholder,32240,0,USD,,,United States of America,Florida,Lake Buena Vista,8-10 years,5-7 years,College degree,Woman,White
55-64,Engineering or Manufacturing,Admin Asst/Tech Writer,"Title is Admin Asst, referred to as Tech Writer",38000,250,USD,,,United States of America,Wisconsin,Somerset,41 years or more,5-7 years,College degree,Woman,White
25-34,Health care,Senior Project Manager,,120000,18000,USD,,,United States of America,Colorado,Denver,5-7 years,2-4 years,Master's degree,Woman,Asian or Asian American
25-34,"Accounting, Banking & Finance",Cash App Officer,,38000,0,USD,,,United States of America,California,Los Angeles,2-4 years,2-4 years,College degree,Woman,Asian or Asian American
25-34,Business or Consulting,Manager,,158000,40000,USD,,,United States of America,Minnesota,Minneapolis,8-10 years,8-10 years,College degree,Man,"Asian or Asian American, White"
25-34,Engineering or Manufacturing,Project Manager,"Specifically Chemistry, Manufacturing and Controls (biotech drug development)",105000,12500,USD,,,United States of America,Massachusetts,Boston,8-10 years,5-7 years,College degree,Man,White
45-54,Entertainment,Vice President of Production,I produce video games,300000,300000,USD,,"Additional income are bonuses, royalties and stock",United States of America,Washington,Seattle,31-40 years,21-30 years,High School,Man,White
18-24,Engineering or Manufacturing,Research Technician II,,72000,,USD,,,United States of America,Washington,Seattle,5-7 years,2-4 years,College degree,Woman,White
35-44,Health care,Pathologist,,185000,10000,USD,,,United States of America,Michigan,Detroit,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Property or Construction,Marketing Manager,Business development marketing efforts for attracting new large global clients,95000,9500,USD,,,United States of America,North Carolina,Charlotte,8-10 years,2-4 years,Master's degree,Woman,White
25-34,Art & Design,Senior UX Designer,,107500,,USD,,,United States of America,Pennsylvania,Gilbertsville,8-10 years,8-10 years,College degree,Woman,White
35-44,Government and Public Administration,Human Resources Director,,92000,0,USD,,,United States of America,Arkansas,Fayetteville,11-20 years,11-20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, Native American or Alaska Native, White"
25-34,Insurance,Liability adjuster,,55000,20000,USD,,,United States of America,Virginia,Stafford,5-7 years,2-4 years,College degree,Woman,White
18-24,Education (Primary/Secondary),Data And Communications Specialist,,44000,,USD,,,United States of America,New York,Bronx,2-4 years,1 year or less,Some college,Man,Asian or Asian American
35-44,Government and Public Administration,Management Analyst - Grant Development,,77766,0,USD,,,United States of America,Pennsylvania,Philadelphia,8-10 years,2-4 years,Master's degree,Man,White
45-54,"Accounting, Banking & Finance",VP Brand,,144000,20000,USD,,,United States of America,Arizona,Phoenix,21-30 years,21-30 years,College degree,Woman,White
25-34,Education (Higher Education),Assistant Director,IT Manager,97000,,USD,,,United States of America,Virginia,Richmond,11-20 years,11-20 years,PhD,Man,Another option not listed here or prefer not to answer
25-34,Computing or Tech,Business Program Manager,,141000,15000,USD,,,United States of America,Washington,Bothell,5-7 years,2-4 years,College degree,Woman,White
55-64,Business or Consulting,Senior Vice President of Marketing,,180000,60000,USD,,,United States of America,Massachusetts,Boston,31-40 years,11-20 years,Master's degree,Woman,White
25-34,Business or Consulting,Senior Consultant,Consultant in the healthcare industry,125000,10000,USD,,,United States of America,Minnesota,Minneapolis,8-10 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Health care,Paramedic,,41600,15000,USD,,,United States of America,New Mexico,Española,11-20 years,11-20 years,College degree,Man,White
25-34,Business or Consulting,Associate Director,,107500,15000,USD,,,United States of America,New York,New York,11-20 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Support Tech,,35000,3500,USD,,,United States of America,North Carolina,Raleigh Nc,2-4 years,1 year or less,College degree,Woman,White
35-44,Computing or Tech,Production Services Manager,,225000,420000,USD,,RSU are the bulk of the additional comp,United States of America,California,Cupertino,11-20 years,11-20 years,College degree,Man,White
18-24,Health care,Editorial Assistant,,45011,2000,USD,,The $2000 bonus is the maximum bonus I can earn and is based on performance metrics.,United States of America,Massachusetts,Boston,1 year or less,1 year or less,College degree,Woman,White
45-54,Computing or Tech,"Manager, Sales Operations",,105000,12000,USD,,,United States of America,Indiana,Indianapolis,21-30 years,11-20 years,College degree,Man,White
35-44,Health care,Support Specialist,"Invoice/ contract entitlement auditing, revenue reporting and forecasting, additional admin support",58000,900,USD,,,United States of America,Washington,Everett,11-20 years,5-7 years,Some college,Woman,White
25-34,Nonprofits,Lead Organizer,,45000,0,USD,,,United States of America,Georgia,Atlanta,2-4 years,2-4 years,College degree,Woman,Black or African American
65 or over,Health care,Heath care administration,Medicaid enrollment,30000,,USD,,,United States of America,Colorado,Denver,8-10 years,5-7 years,College degree,Woman,White
35-44,Architecture,Communications Director,,136240,0,USD,,,United States of America,California,San Francisco,11-20 years,8-10 years,College degree,Woman,White
25-34,Government and Public Administration,Museum curator,,70288,3000,USD,,,United States of America,Georgia,Atlanta,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Education (Primary/Secondary),Math Teacher,,49097,0,USD,,"I can work extra for stipends: Coaching, Summer School, etc.",United States of America,Ohio,Columbus,2-4 years,2-4 years,Master's degree,Woman,White
35-44,Trade Association,Manager,,58000,5000,USD,,,United States of America,District of Columbia,Washington,11-20 years,8-10 years,College degree,Woman,White
35-44,Computing or Tech,Workplace Operations Lead,"""Workplace Experience"" is the fancy tech industry term for facilities management",88000,,USD,,,United States of America,California,San Francisco,21-30 years,11-20 years,College degree,Non-binary,White
25-34,Government and Public Administration,Project Officer,,88000,,USD,,,United States of America,New Jersey,Newark,2-4 years,2-4 years,Master's degree,Woman,White
25-34,Social Work,Behavior Specialist,,40000,,USD,,,United States of America,Georgia,Beaufort,2-4 years,2-4 years,College degree,Woman,White
35-44,Nonprofits,Advisor,,103000,5000,USD,,,United States of America,District of Columbia,Washington,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Health care,Staff Attorney,I serve as one of several attorneys for a healthcare organization in-house.,130000,0,USD,,Salaried employee.,United States of America,Wisconsin,Neenah,5-7 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Government and Public Administration,Technical Services Librarian,(public law librarian working for state government),61400,0,USD,,,United States of America,Oregon,Salem,21-30 years,2-4 years,Master's degree,Woman,White
25-34,Government and Public Administration,Counsel,,115000,,USD,,,United States of America,District of Columbia,Washington,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Man,White
25-34,Property or Construction,"Senior Manager, Marketing Operations",,125000,25000,USD,,,United States of America,Maryland,Potomac,11-20 years,11-20 years,Master's degree,Man,White
18-24,Education (Higher Education),Resident's Assistant,,11100,,USD,,,United States of America,New York,Buffalo,2-4 years,2-4 years,College degree,Man,White
35-44,"Marketing, Advertising & PR",Operations Manager/HR Manager,,52000,5500,USD,,,United States of America,Rhode Island,Pawtucket,11-20 years,11-20 years,College degree,Woman,White
25-34,Education (Primary/Secondary),Speech-language pathologist,Large public school district,75000,,USD,,10-month employee (income does not include optional summer work),United States of America,Maryland,Silver Spring,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Education (Higher Education),Executive Assistant,,59000,0,USD,,,United States of America,New York,Syracuse,11-20 years,5-7 years,Master's degree,Woman,White
25-34,Health care,Psychiatrist,,250000,12000,USD,,,United States of America,New York,New York,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Man,White
25-34,Recruitment or HR,Cloud Developer/Analyst - Associate,Human Resources system analyst and developer,70000,0,USD,,,United States of America,Illinois,Chicago,5-7 years,2-4 years,Master's degree,Woman,White
25-34,Health care,Project Coordinator,one step under a project manager,66705,,USD,,,United States of America,Oregon,Portland,11-20 years,11-20 years,College degree,Woman,"Black or African American, White"
35-44,Computing or Tech,Instructional Designer II,,110000,5000,USD,,,United States of America,Virginia,Mclean,11-20 years,5-7 years,Master's degree,Woman,Asian or Asian American
25-34,Computing or Tech,eDiscovery Specialist,,103000,5000,USD,,,United States of America,Colorado,Denver,8-10 years,5-7 years,College degree,Man,White
35-44,Computing or Tech,Software Verification & Validation Specialist,I'm a software quality engineer,107100,,USD,,,United States of America,Nevada,Las Vegas,11-20 years,11-20 years,College degree,Man,White
25-34,Recruitment or HR,HR Assistant,,38000,300,USD,,,United States of America,Washington,Port Orchard,11-20 years,2-4 years,High School,Woman,White
18-24,Health care,Research Assistant,,41500,0,USD,,I recieve tuition remission.,United States of America,Massachusetts,Boston,2-4 years,2-4 years,College degree,Woman,Asian or Asian American
35-44,Law,Partner,Non-equity,115000,65000,USD,,Partially based on business brought in by me,United States of America,Illinois,Naperville,21-30 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
55-64,Government Contracting,Compliance Mgr & Facility Security Officer,,130800,7500,USD,,,United States of America,Alaska,Anchoragr,21-30 years,21-30 years,Some college,Woman,White
35-44,Sales,Sales Representative,"Very specifically, I’m a former chemist now in chemical sales.",89000,24000,USD,,I earn 10% commission.,United States of America,Georgia,Metro Atlanta,11-20 years,2-4 years,College degree,Woman,White
35-44,Delivery and installation for commercial machinery,Driver,,30000,500,USD,,,United States of America,Pennsylvania,King Of Prussia,11-20 years,5-7 years,Some college,Man,White
25-34,Health care,APRN,,118000,0,USD,,,United States of America,Connecticut,Derby,2-4 years,2-4 years,Master's degree,Woman,Another option not listed here or prefer not to answer
18-24,Research,Research Assistant,,42000,0,USD,,I already had a couple years of experience in a previous job before I took this one,United States of America,New Hampshire,Lebanon,2-4 years,2-4 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Engineer,,125000,,USD,,,United States of America,Maryland,Laurel,8-10 years,8-10 years,Master's degree,Man,"Asian or Asian American, White"
35-44,Computing or Tech,Software Engineer,,113500,1600,USD,,,United States of America,South Carolina,Greenville,11-20 years,2-4 years,College degree,Woman,Black or African American
25-34,Health care,social worker,,67200,0,USD,,,United States of America,New York,New York,8-10 years,2-4 years,Master's degree,Woman,White
25-34,Computing or Tech,Software Engineer II,,145000,,USD,,,United States of America,New York,New York,5-7 years,5-7 years,College degree,Man,Another option not listed here or prefer not to answer
25-34,"Accounting, Banking & Finance",CPA,,50000,13000,USD,,,United States of America,Michigan,Holland,5-7 years,5-7 years,College degree,Woman,White
35-44,Nonprofits,Vice President,,166000,5000,USD,,,United States of America,Massachusetts,Boston,11-20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
25-34,Recruitment or HR,Senior Recruiter,,150000,60000,USD,,,United States of America,California,San Francisco,5-7 years,5-7 years,College degree,Other or prefer not to answer,Latino
25-34,Nonprofits,Director of Finance and Operations,I also manage fundraising,71000,0,USD,,,United States of America,New York,New York,5-7 years,5-7 years,College degree,Non-binary,White
35-44,Computing or Tech,Senior Support Engineer,I am not an actual engineer. I support our internal and external customer relationship management systems,55000,,USD,,,United States of America,Alabama,Huntsville,11-20 years,5-7 years,Some college,Woman,White
25-34,Government and Public Administration,Family Support Services 2,,29000,0,USD,,,United States of America,Kentucky,Frankfort,21-30 years,2-4 years,College degree,Woman,White
25-34,Warehouse,Assistant Shift Manager,,37440,,USD,,,United States of America,Maryland,Baltimore,11-20 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
45-54,Law,Assistant Public Defender II,I only handle misdemeanor cases,102500,0,USD,,,United States of America,Illinois,Rolling Meadows,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Other or prefer not to answer,White
45-54,Nonprofits,Benefits Manager,,105000,5000,USD,,,United States of America,District of Columbia,Washington,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Health care,Clinical Applications Coordinator,,70000,,USD,,,United States of America,Alaska,Ketchikan,11-20 years,11-20 years,Master's degree,Man,White
35-44,Law,Senior Policy Attorney,,66000,,USD,,,United States of America,District of Columbia,Washington,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
45-54,"Accounting, Banking & Finance",Consultant,,185000,0,USD,,,United States of America,Massachusetts,Boston,31-40 years,21-30 years,"Professional degree (MD, JD, etc.)",Man,White
18-24,Property or Construction,Executive Assistant,,45000,0,USD,,,United States of America,Arizona,Scottsdale,5-7 years,5-7 years,High School,Woman,White
25-34,Science,Structural Biology Lead,"I am at a start-up that's still pre-seed, and I'm essentially head of a department of one at present",185000,40000,USD,,"Bonus for meeting milestones. Also have 0.8% equity, protected against dilution",United States of America,California,San Francisco,5-7 years,5-7 years,PhD,Man,White
45-54,Computing or Tech,Senior Information Developer,Technical writer,85000,,USD,,,United States of America,Minnesota,St Paul,21-30 years,11-20 years,College degree,Woman,White
35-44,Sales,Sales Operations Business Process Manager,,96000,15000,USD,,,United States of America,Washington,Vancouver,11-20 years,11-20 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Integration and Test Engineer,,94300,,USD,,,United States of America,New York,Syracuse,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Computing or Tech,Analytics Manager Sr,,127500,30000,USD,,,United States of America,Texas,Austin,8-10 years,8-10 years,College degree,Man,White
45-54,Hospitality & Events,Hotel General Manager,,90000,0,USD,,,United States of America,Maine,Auburn,21-30 years,11-20 years,Some college,Woman,White
35-44,Transport or Logistics,Director of BDC & CRM,Manage a team of business development representatives and manage the CRM platform for an automotive dealership group,100000,0,USD,,,United States of America,California,Los Angeles,11-20 years,5-7 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Senior Data architect,,146000,12000,USD,,,United States of America,Arizona,Phoenix,11-20 years,8-10 years,Master's degree,Man,White
35-44,Engineering or Manufacturing,data scientist,,130000,5000,USD,,,United States of America,New York,New York,5-7 years,2-4 years,Master's degree,Man,White
35-44,Education (Higher Education),Librarian,Faculty - community college,70560,0,USD,,,United States of America,Texas,Houston,11-20 years,8-10 years,Master's degree,Woman,White
45-54,Engineering or Manufacturing,Software Engineer,,80000,0,USD,,,United States of America,Wisconsin,Madison,21-30 years,21-30 years,College degree,Man,White
35-44,"Accounting, Banking & Finance",Head of Product,,200000,60000,USD,,,United States of America,Pennsylvania,Malvern,11-20 years,5-7 years,Master's degree,Woman,White
25-34,Media & Digital,Senior Editor,Senior Editor in Books Publishing,71800,4000,USD,,,United States of America,New York,New York,5-7 years,5-7 years,College degree,Woman,White
25-34,Education (Higher Education),Manager,,85000,,USD,,,United States of America,Missouri,Saint Louis,5-7 years,2-4 years,PhD,Woman,White
18-24,Nonprofits,Program Coordinator,Lowest position in the hierarchy - entry level,41000,0,USD,,,United States of America,District of Columbia,DC,2-4 years,2-4 years,College degree,Woman,White
25-34,Media & Digital,Digital Director,,100000,,USD,,,United States of America,New York,New York,8-10 years,8-10 years,College degree,Woman,White
35-44,Transport or Logistics,Director - IT Strategy,,99000,130000,USD,,"My bonus is separate from salary, paid quarterly. It does not fluctuate significantly, as it is based on the overall operating income of my large Fortune 500 company. I consider it part of my income and while I do personally budget for small differences quarter over quarter, the differences are generally no more than a few thousnd dollars ($2-3k), not significant swings. Were there to be a significant issue for the company that impacted bonuses, Execs have stated they would make sure their bonus is reduced to prevent sub-VP levels from taking a major hit.",United States of America,Washington,Seattle,11-20 years,2-4 years,Master's degree,Woman,White
35-44,Law,Associate Attorney,,125000,25000,USD,,,United States of America,Arizona,Phoenix,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Computing or Tech,Software Engineer II,,148000,,USD,,,United States of America,Wisconsin,Madison,5-7 years,5-7 years,Master's degree,Man,White
45-54,"Leisure, Sport & Tourism",Recruiter II,,100000,0,USD,,No increases in 3 years.,United States of America,New Jersey,East Rutherford,21-30 years,11-20 years,College degree,Woman,White
25-34,Computing or Tech,customer success manager,,85000,,USD,,,United States of America,Tennessee,Nashville,8-10 years,2-4 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Marketing Writer,,51000,500,USD,,,United States of America,Alabama,Montgomery,2-4 years,2-4 years,Master's degree,Non-binary,White
55-64,"Accounting, Banking & Finance",Client Computing Engineer,IT Administrator,113105,15000,USD,,,United States of America,Washington,Seattle,31-40 years,21-30 years,College degree,Man,White
35-44,Computing or Tech,Segment Marketing Manager,Marketing Campaigns,87000,12000,USD,,Additional compensation is the target bonus payout - actual payout depends on company performance,United States of America,Texas,San Antonio,11-20 years,11-20 years,College degree,Woman,"Asian or Asian American, White"
35-44,Health care,Human Resources Director,,77000,11000,USD,,,United States of America,New Jersey,Cranbury,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Design Engineer,,90000,,USD,,,United States of America,Michigan,Detroit,2-4 years,2-4 years,College degree,Woman,White
35-44,Nonprofits,Communications director,,90000,,USD,,,United States of America,Oregon,Tigard,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Health care,instructor of medicine,,100000,,USD,,,United States of America,New York,New York,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
18-24,Engineering or Manufacturing,Associate Product Manager,,70000,0,USD,,,United States of America,Indiana,Carmel,2-4 years,2-4 years,College degree,Woman,White
35-44,Government and Public Administration,Qualitative Research Analyst,,71660,1000,USD,,,United States of America,North Carolina,Durham,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Retail,"Store manager for small store, 4 employees",,57000,4000,USD,,,United States of America,Nevada,Las Begas,11-20 years,11-20 years,College degree,Man,White
25-34,Computing or Tech,Software Developer,Cloud Engineering,98500,6000,USD,,,United States of America,Florida,Gainesville,11-20 years,11-20 years,College degree,Man,White
25-34,Health care,Senior Financial Analyst,,81000,0,USD,,,United States of America,Arkansas,Little Rock,8-10 years,8-10 years,College degree,Woman,White
35-44,Education (Higher Education),Assistant Professor of History,,70000,0,USD,,,United States of America,Texas,San Antonio,11-20 years,11-20 years,PhD,Woman,White
25-34,Computing or Tech,Chief Data Scientist,,31000,100,USD,,Additional compensation is expected value of options.,United States of America,California,Oakland,5-7 years,5-7 years,PhD,Man,White
25-34,Health care,Epic Credentialed Trainer,Trainer at Healthcare facility,85000,,USD,,,United States of America,Ohio,Toledo,8-10 years,5-7 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Staff Accountant/Transition Coordinator,,40000,0,USD,,,United States of America,Nevada,Las Vegas,11-20 years,1 year or less,College degree,Man,White
25-34,"Marketing, Advertising & PR",Creative Director,,50000,,USD,,,United States of America,Iowa,West Des Moines,11-20 years,11-20 years,College degree,Woman,White
35-44,Biotech,QA Specialist- Compliance and Quality,This is FDA Quality Compliance for clinical trials,73000,,USD,,,United States of America,California,San Francisco,21-30 years,11-20 years,College degree,Woman,White
35-44,Computing or Tech,Senior Project Manager,,95000,5000,USD,,,United States of America,Texas,Austin,11-20 years,5-7 years,Master's degree,Woman,White
25-34,Health care,Clinical Research Project Manager,,66400,,USD,,,United States of America,Michigan,Ann Arbor,8-10 years,5-7 years,Master's degree,Woman,Asian or Asian American
35-44,Pharmaceuticals,Principal Scientist,,161000,16000,USD,,,United States of America,California,San Francisco,21-30 years,11-20 years,College degree,Woman,White
25-34,Business or Consulting,Operations Manager,,42000,4200,USD,,,United States of America,Illinois,Chicago,2-4 years,1 year or less,College degree,Woman,White
45-54,Insurance,Sr. Training Specialist,,83000,4000,USD,,,United States of America,Nebraska,South Sioux,21-30 years,11-20 years,Master's degree,Woman,White
25-34,Computing or Tech,Services Sales Manager,Telephony software contract sales,105000,3000,USD,,,United States of America,North Carolina,Durham,5-7 years,2-4 years,College degree,Woman,White
35-44,Education (Primary/Secondary),School psychologist,,93000,8000,USD,,,United States of America,Minnesota,Minneapolis,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Insurance,Service Representative II,I process applications & answer questions from the people making the sales across the us.,40000,2675,USD,,This is my first year at the job and I don't officially know my bonus award amount yet.,United States of America,Wisconsin,Franklin,8-10 years,2-4 years,College degree,Woman,White
35-44,Publishing,Marketing Manager,,64000,400,USD,,,United States of America,New York,New York,8-10 years,8-10 years,College degree,Woman,White
25-34,Recruitment or HR,Internal Communications,,163000,60000,USD,,,United States of America,California,San Francisco,5-7 years,2-4 years,College degree,Woman,"Asian or Asian American, White"
35-44,Engineering or Manufacturing,Mechanical Engineer,,123000,5000,USD,,,United States of America,Ohio,Cincinnati,11-20 years,5-7 years,Master's degree,Woman,White
55-64,Education (Higher Education),Executive Assistant,,49000,0,USD,,,United States of America,Ohio,Cincinnati,21-30 years,11-20 years,Master's degree,Woman,White
45-54,Law,Attorney,Solo Practice,70000,0,USD,,,United States of America,Illinois,Naperville,21-30 years,21-30 years,"Professional degree (MD, JD, etc.)",Man,White
45-54,Computing or Tech,Engineering Manager,,200000,0,USD,,,United States of America,Texas,Austin,21-30 years,21-30 years,College degree,Man,White
